Acceleration (%),Battery Capacity (kWh),Energy Efficiency (km/kWh),Weight of Vehicle (kg),Range (km)
38.36847240172579,72,3.0,1317,216.0
42.616358074506344,48,3.6222522635974705,2224,173.8681086526786
56.12481106924574,74,4.030530663277038,1856,298.25926908250085
87.0387217627489,88,3.2572101794446082,2390,286.6344957911255
45.92759042891303,85,4.615063771534838,1640,392.2804205804612
96.22854048435237,61,3.0,2163,183.0
81.96809479842922,98,3.0,2247,294.0
65.66615230516663,77,4.260842973589808,2228,328.08490896641524
63.58326359583676,78,5.720853927304136,2470,446.2266063297226
68.37299932189156,90,3.0,2386,270.0
34.489728456914534,62,3.0,1519,186.0
91.728868145747,69,3.0,1936,207.0
79.81108361935668,72,3.3864688363988167,2302,243.8257562207148
86.14772692031832,74,3.0,1876,222.0
48.73831977253809,63,5.973111424786313,1813,376.3060197615377
70.12532947457593,40,3.259852355553421,1263,130.39409422213683
63.605076287489446,71,3.0,2319,213.0
37.08063719108148,63,4.024713350741621,2446,253.5569410967221
37.495421818518686,88,3.0,1623,264.0
45.41221860333886,69,3.7270295134428864,2097,257.16503642755913
42.08299184549251,43,3.0,1292,129.0
61.282462766490674,88,3.0,2010,264.0
90.62401498352143,83,3.0,1884,249.0
59.2863742694651,191,1.096013325963173,2261,209.33854525896604
60.790897692430114,92,3.0,2133,276.0
65.75944187259292,57,3.0,1809,171.0
77.14651077600415,197,1.5327441323570767,1550,301.9505940743441
61.39310191728173,43,3.0,2344,129.0
56.15967488639064,99,5.356305089306009,2377,530.2742038412948
45.36553387120885,56,3.0,1725,168.0
69.97797793357941,63,3.0,2152,189.0
45.01478480705516,90,3.0,1958,270.0
48.17661568178569,42,3.0,1499,126.0
44.647561092994046,43,3.6982321330910723,2402,159.02398172291612
55.72974355859559,47,3.555980266612899,1613,167.13107253080625
68.65393713800361,71,3.4459127338603492,1459,244.6598041040848
97.0276109830731,84,3.0,1627,252.0
78.11337896039046,95,3.4224240764667915,1470,325.1302872643452
73.9047816204011,91,5.39048651153566,2349,490.5342725497451
94.71805664240503,82,4.1437659513315825,1367,339.7888080091898
87.17730677165201,97,3.2581570266350264,1372,316.04123158359755
79.93516093613965,80,3.0,1805,240.0
82.16364194224865,89,3.25659476187748,1706,289.8369338070957
92.93153716416698,67,4.415117220354939,2033,295.81285376378094
88.85793611986598,45,4.649827642380552,1695,209.24224390712482
74.7753052028809,48,4.510752359954374,1887,216.51611327780995
52.233812684729294,79,5.536700281442789,2128,437.39932223398034
51.177783984629514,63,5.109028621956219,2317,321.8688031832418
57.13216196457759,42,3.358282954319039,1863,141.04788408139964
81.43104002388993,48,5.286307787389433,2236,253.74277379469277
66.6705506127391,93,3.6256436643281855,1293,337.18486078252124
92.13696028525122,46,4.766082258916518,2195,219.23978391015984
77.42938923005165,42,3.0,1541,126.0
92.19958832198488,77,3.951022485247935,1317,304.228731364091
78.14835870314499,58,3.0,1859,174.0
40.31367712416144,95,3.0,1570,285.0
42.877647185171945,64,5.858708496272391,1557,374.95734376143304
91.14347673340814,83,3.4761436789898896,2367,288.51992535616085
72.76049419326093,87,3.0,2105,261.0
94.34624742830444,64,3.0,1352,192.0
38.376312043823305,49,3.3840150678164123,1722,165.8167383230042
49.56548643841995,85,5.245587036666186,2295,445.87489811662584
60.94670362030956,62,4.100160814679859,2089,254.2099705101513
34.363774435257824,48,3.0,1758,144.0
94.32280999011033,74,5.062529563169135,1235,374.627187674516
52.75352058034336,71,3.245999422747592,1902,230.46595901507902
62.46639237770806,83,4.374777430517455,2034,363.1065267329488
90.14543335456935,98,3.0,1450,294.0
41.85372285301419,68,5.7450604537979775,1534,390.66411085826246
68.08451692160439,84,3.6028468002493694,2087,302.63913122094704
70.98940888417444,79,5.150487163488396,1258,406.8884859155833
62.40313160790527,57,4.554665723095909,1855,259.61594621646685
55.07136682180822,81,3.0,1705,243.0
36.799290131847165,63,3.6952638914066713,1921,232.80162515862028
72.96492366084127,70,3.0,1342,210.0
94.33933789380289,70,3.0,1394,210.0
76.43058277586205,90,4.973117973073551,2340,447.5806175766196
97.58784407921203,83,3.5887344847022744,2037,297.86496223028877
60.11020838429202,61,4.050441614512897,1978,247.0769384852867
71.81348240839716,95,4.8908660322874145,1707,464.63227306730437
39.52744408864689,66,4.195556215670003,1274,276.90671023422016
87.31161720587156,95,3.0,2275,285.0
42.35857306740674,69,4.613385492354852,1737,318.3235989724848
91.97212366343527,80,3.0,1211,240.0
97.43139230164995,79,3.0,1269,237.0
66.09694290453679,97,3.743472213889085,1902,363.11680474724125
90.25232811364447,189,1.7157109431619852,2227,324.2693682576152
81.04491845702263,45,3.0,2425,135.0
72.1414247213224,70,3.68250982146514,1573,257.7756875025598
81.27762545192597,86,3.7939440082867417,1650,326.2791847126598
33.35534395063176,186,1.4559982679132295,1957,270.8156778318607
40.10496961569209,62,5.535788888549455,2019,343.2189110900662
96.66406005845944,78,3.804337784512703,1301,296.73834719199084
63.06435136029371,41,3.0,2088,123.0
80.37087935738913,52,4.886470636626248,2488,254.0964731045649
66.67082177268054,84,3.6135946775785435,1280,303.54195291659767
95.81746965185603,67,3.4855178704193532,1337,233.52969731809668
53.67394601413881,77,4.81545593360782,1320,370.79010688780215
59.543141966267676,87,3.0,2253,261.0
49.56304226858298,85,3.0,1318,255.0
68.52732186292828,88,3.0,1625,264.0
48.667255819180205,91,3.987068370114442,2006,362.82322168041424
75.31223968394686,89,4.292580918123211,2463,382.0397017129658
35.70345850327034,83,3.0,1210,249.0
91.02472010007054,65,3.2332251347240453,2098,210.15963375706295
33.890313611475904,72,5.9760338238781285,1300,430.27443531922523
52.38557036839134,52,4.925559370965282,2312,256.12908729019466
33.642965538999256,68,4.398665975301192,1451,299.10928632048103
57.59202624179222,42,4.673990283869817,2205,196.30759192253234
70.3467207732975,93,3.4197874087170765,1299,318.0402290106881
49.06503847463009,44,3.0,2058,132.0
76.91996728890778,85,5.103514861907395,1975,433.79876326212855
70.48126966200293,42,3.0,1652,126.0
54.11407173929407,67,4.241078567149526,1834,284.15226399901826
55.51153243535493,95,3.0,1724,285.0
87.81728459916819,64,3.0,1830,192.0
94.35186526085563,89,3.294746355619957,1897,293.2324256501762
80.14428857655416,84,4.700233584115502,1294,394.8196210657021
71.08819201110214,60,3.2176265288890313,1575,193.0575917333419
57.86664409653973,88,4.388620317141354,1621,386.1985879084391
79.52801528165256,92,4.837498576449015,1364,445.0498690333094
67.54276676755181,97,4.333773837346698,1575,420.3760622226297
72.87373034081097,60,4.772053388258003,1975,286.3232032954802
81.59820369773959,96,3.0,2239,288.0
92.32367451306696,53,3.489922001594997,1905,184.96586608453484
,99,,2254,297.0
96.83008420975902,92,3.0,2291,276.0
56.588035597965295,73,3.0,2175,219.0
55.971338187016826,192,1.0217236799401144,1761,196.17094654850195
69.64587289559844,86,3.1024830467381963,1482,266.8135420194849
36.45679390184021,49,4.455197869506594,1422,218.3046956058231
84.27037265682922,92,3.0,1818,276.0
73.55503770963989,79,4.08026810544709,1579,322.3411803303201
77.15953596631088,98,3.156372773259181,1344,309.3245317793997
59.102700454868526,51,3.1778701696551606,1786,162.0713786524132
56.166666200542494,71,3.0,2208,213.0
40.69294894999558,78,3.0,1576,234.0
55.79305278474046,52,3.966239496361599,2166,206.24445381080312
71.67417112929077,96,3.0,1563,288.0
52.809643235681214,53,3.0723111991609002,1593,162.83249355552772
64.77620647344824,44,3.087852657563503,1203,135.86551693279412
44.1486380730998,56,5.563849831804086,2003,311.57559058102885
42.15224720064036,72,3.1396566444968657,1868,226.05527840377434
36.2930176646218,78,3.0,2368,234.0
86.03398628499234,92,3.0,2288,276.0
51.03570704091748,68,4.574712007509155,1513,311.0804165106225
78.78239680437406,43,3.0,2096,129.0
68.27149643378029,82,5.623653741561514,2381,461.13960680804416
56.82873503684937,72,3.0,1374,216.0
42.45457539459743,51,5.139704917167026,2095,262.1249507755183
45.10822840163943,48,5.4283643236407535,1474,260.56148753475617
56.38707322736166,90,3.0,1238,270.0
36.84488878864647,78,3.2971795992059407,1659,257.18000873806335
38.6327832235125,71,5.980906263624879,1608,424.64434471736644
45.03277515875716,84,3.367710456638815,1517,282.88767835766043
66.72466355881103,42,3.0,1774,126.0
52.33967791292314,79,5.055834488650555,2211,399.4109246033938
53.49323465526518,47,3.0,2347,141.0
72.23530325772755,86,4.889984932759749,1503,420.53870421733836
49.217494222662,47,3.0,2303,141.0
39.677593338681,58,3.8592539633205005,1211,223.83672987258902
59.75417503321471,63,5.67549736390446,1417,357.556333925981
67.7824029960043,76,5.605063331719398,1728,425.98481321067425
79.95859104888142,69,3.654746917859801,1208,252.17753733232627
47.384206628660415,81,5.33437982657933,2152,432.0847659529257
66.94323264855443,44,3.0,1518,132.0
90.6030886471104,60,4.08223341956795,1276,244.934005174077
39.33237042330804,83,5.7748689302808325,1724,479.3141212133091
99.59984889424474,55,4.8242344352394575,1721,265.3328939381702
51.31616439158447,94,5.335358545977361,1772,501.52370332187195
